,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
80,31.001,32.998,2017-03-11 00:00:00,6901773,21.121,36.707,2017-02-04 00:00:00,6901768,30.527,34.104,2017-02-02 00:00:00,6901764
81,9.701,39.012,2017-03-12 00:00:00,6903180,30.972,33.04,2017-02-04 00:00:00,6901773,7.901,42.095,2017-02-03 00:00:00,6902733
82,10.441,40.824,2017-03-13 00:00:00,6901767,17.922,41.373,2017-02-05 00:00:00,6903197,16.862,34.785,2017-02-03 00:00:00,6903153
83,26.309,34.098,2017-03-13 00:00:00,6903204,29.785,34.161,2017-02-05 00:00:00,6901766,5.929,42.507,2017-02-04 00:00:00,6902687
84,21.998,35.798,2017-03-14 00:00:00,6903203,3.844,42.325,2017-02-06 00:00:00,6901864,16.759,41.573,2017-02-04 00:00:00,6903178
85,17.197,35.874,2017-03-15 00:00:00,6903153,4.511,38.713,2017-02-06 00:00:00,6902732,21.121,36.707,2017-02-04 00:00:00,6901768
86,34.006,32.228,2017-03-15 00:00:00,6903222,10.56,40.76,2017-02-06 00:00:00,6901767,30.972,33.04,2017-02-04 00:00:00,6901773
87,16.796,41.543,2017-03-16 00:00:00,6903178,18.227,39.375,2017-02-06 00:00:00,6901863,9.999,39.711,2017-02-05 00:00:00,6903180
88,17.442,36.675,2017-03-16 00:00:00,6901771,23.477,34.344,2017-02-06 00:00:00,6901765,17.922,41.373,2017-02-05 00:00:00,6903197
89,29.324,34.614,2017-03-16 00:00:00,6901764,10.503,39.239,2017-02-07 00:00:00,6901769,10.56,40.76,2017-02-06 00:00:00,6901767
90,8.077,42.634,2017-03-17 00:00:00,6902733,18.921,38.815,2017-02-07 00:00:00,6901862,23.477,34.344,2017-02-06 00:00:00,6901765
91,9.662,38.961,2017-03-17 00:00:00,6903180,26.669,33.152,2017-02-07 00:00:00,6901770,25.942,33.81,2017-02-06 00:00:00,6903204
92,33.988,32.256,2017-03-17 00:00:00,6903222,17.49,36.749,2017-02-09 00:00:00,6901771,4.926,41.089,2017-02-07 00:00:00,6902688
93,31.231,32.937,2017-03-18 00:00:00,6901773,30.579,34.166,2017-02-09 00:00:00,6901764,10.503,39.239,2017-02-07 00:00:00,6901769
94,10.321,40.619,2017-03-20 00:00:00,6901767,7.854,42.244,2017-02-10 00:00:00,6902733,26.669,33.152,2017-02-07 00:00:00,6901770
95,17.088,35.948,2017-03-20 00:00:00,6903153,18.137,41.174,2017-02-10 00:00:00,6903197,16.921,34.744,2017-02-08 00:00:00,6903153
96,23.384,35.107,2017-03-20 00:00:00,6901765,3.818,41.967,2017-02-11 00:00:00,6901864,33.67,32.511,2017-02-08 00:00:00,6903222
97,6.079,41.567,2017-03-21 00:00:00,6902687,17.692,39.771,2017-02-11 00:00:00,6901863,16.761,41.573,2017-02-09 00:00:00,6903178
98,16.796,41.536,2017-03-21 00:00:00,6903178,20.987,36.653,2017-02-11 00:00:00,6901768,17.49,36.749,2017-02-09 00:00:00,6901771
99,9.618,38.923,2017-03-22 00:00:00,6903180,31.013,33.089,2017-02-11 00:00:00,6901773,30.579,34.166,2017-02-09 00:00:00,6901764
100,17.327,36.683,2017-03-23 00:00:00,6901771,19.36,38.807,2017-02-12 00:00:00,6901862,33.666,32.512,2017-02-09 00:00:00,6903222
101,25.217,33.459,2017-03-23 00:00:00,6903204,29.54,34.193,2017-02-12 00:00:00,6901766,7.854,42.244,2017-02-10 00:00:00,6902733
102,29.059,34.641,2017-03-23 00:00:00,6901764,4.099,38.613,2017-02-13 00:00:00,6902732,9.935,39.649,2017-02-10 00:00:00,6903180
103,17.16,35.939,2017-03-25 00:00:00,6903153,10.578,40.704,2017-02-13 00:00:00,6901767,18.137,41.174,2017-02-10 00:00:00,6903197
104,31.341,33.08,2017-03-25 00:00:00,6901773,23.522,34.392,2017-02-13 00:00:00,6901765,20.987,36.653,2017-02-11 00:00:00,6901768
105,5.828,41.439,2017-03-26 00:00:00,6902687,10.589,39.291,2017-02-14 00:00:00,6901769,25.84,33.861,2017-02-11 00:00:00,6903204
106,9.505,38.856,2017-03-27 00:00:00,6903180,26.734,33.087,2017-02-14 00:00:00,6901770,31.013,33.089,2017-02-11 00:00:00,6901773
107,10.312,40.512,2017-03-27 00:00:00,6901767,3.878,41.545,2017-02-16 00:00:00,6901864,33.643,32.503,2017-02-11 00:00:00,6903222
108,23.095,35.298,2017-03-27 00:00:00,6901765,17.332,39.413,2017-02-16 00:00:00,6901863,5.181,41.001,2017-02-12 00:00:00,6902688
109,17.119,35.986,2017-03-30 00:00:00,6903153,17.525,36.834,2017-02-16 00:00:00,6901771,10.578,40.704,2017-02-13 00:00:00,6901767
110,17.185,36.783,2017-03-30 00:00:00,6901771,30.518,34.308,2017-02-16 00:00:00,6901764,16.984,34.742,2017-02-13 00:00:00,6903153
111,29.179,34.566,2017-03-30 00:00:00,6901764,7.743,42.372,2017-02-17 00:00:00,6902733,23.522,34.392,2017-02-13 00:00:00,6901765
112,5.48,41.412,2017-03-31 00:00:00,6902687,19.797,38.691,2017-02-17 00:00:00,6901862,33.634,32.507,2017-02-13 00:00:00,6903222
113,7.837,42.503,2017-03-31 00:00:00,6902733,21.056,36.454,2017-02-18 00:00:00,6901768,10.589,39.291,2017-02-14 00:00:00,6901769
114,9.332,38.755,2017-04-01 00:00:00,6903180,31.0,33.101,2017-02-18 00:00:00,6901773,16.764,41.565,2017-02-14 00:00:00,6903178
115,31.117,33.269,2017-04-01 00:00:00,6901773,29.167,33.96,2017-02-19 00:00:00,6901766,26.734,33.087,2017-02-14 00:00:00,6901770
116,33.724,32.48,2017-04-01 00:00:00,6903222,3.821,38.675,2017-02-20 00:00:00,6902732,17.525,36.834,2017-02-16 00:00:00,6901771
117,29.868,33.08,2017-04-02 00:00:00,6901766,10.53,40.775,2017-02-20 00:00:00,6901767,25.682,34.082,2017-02-16 00:00:00,6903204
118,10.301,40.504,2017-04-03 00:00:00,6901767,23.607,34.495,2017-02-20 00:00:00,6901765,30.518,34.308,2017-02-16 00:00:00,6901764
119,22.807,35.515,2017-04-03 00:00:00,6901765,3.766,41.526,2017-02-21 00:00:00,6901864,5.245,41.057,2017-02-17 00:00:00,6902688
120,16.922,35.947,2017-04-04 00:00:00,6903153,10.41,39.364,2017-02-21 00:00:00,6901769,33.72,32.453,2017-02-17 00:00:00,6903222
121,5.031,41.456,2017-04-05 00:00:00,6902687,17.618,39.086,2017-02-21 00:00:00,6901863,17.041,34.867,2017-02-18 00:00:00,6903153
122,9.15,38.672,2017-04-06 00:00:00,6903180,26.741,33.199,2017-02-21 00:00:00,6901770,21.056,36.454,2017-02-18 00:00:00,6901768
123,17.132,36.86,2017-04-06 00:00:00,6901771,20.066,38.613,2017-02-22 00:00:00,6901862,31.0,33.101,2017-02-18 00:00:00,6901773
