,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,Qc
300,20.77,36.018,2017-07-04 00:00:00,6902828,-9999.0
301,26.531,34.554,2017-07-04 00:00:00,6901770,1.0
302,20.801,35.964,2017-07-05 00:00:00,6902828,-9999.0
303,33.676,32.567,2017-07-05 00:00:00,6903222,-9999.0
304,20.834,35.893,2017-07-06 00:00:00,6902828,-9999.0
305,25.731,33.8,2017-07-06 00:00:00,6903204,-9999.0
306,27.78,34.383,2017-07-06 00:00:00,6901764,1.0
307,20.865,35.811,2017-07-07 00:00:00,6902828,-9999.0
308,19.874,36.421,2017-07-08 00:00:00,6901768,1.0
309,20.889,35.733,2017-07-08 00:00:00,6902828,-9999.0
310,31.093,33.063,2017-07-08 00:00:00,6901773,2.0
311,20.906,35.661,2017-07-09 00:00:00,6902828,-9999.0
312,29.258,32.717,2017-07-09 00:00:00,6901766,2.0
313,10.209,40.31,2017-07-10 00:00:00,6901767,1.0
314,20.918,35.601,2017-07-10 00:00:00,6902828,-9999.0
315,21.565,36.528,2017-07-10 00:00:00,6901765,8.0
316,33.777,32.546,2017-07-10 00:00:00,6903222,-9999.0
317,20.925,35.543,2017-07-11 00:00:00,6902828,-9999.0
318,25.76,33.782,2017-07-11 00:00:00,6903204,-9999.0
319,26.456,34.413,2017-07-11 00:00:00,6901770,1.0
320,5.947,40.529,2017-07-12 00:00:00,6902688,-9999.0
321,20.929,35.488,2017-07-12 00:00:00,6902828,-9999.0
322,20.919,35.444,2017-07-13 00:00:00,6902828,-9999.0
323,27.864,34.403,2017-07-13 00:00:00,6901764,1.0
324,20.91,35.416,2017-07-14 00:00:00,6902828,-9999.0
325,19.458,36.216,2017-07-15 00:00:00,6901768,1.0
326,20.91,35.404,2017-07-15 00:00:00,6902828,-9999.0
327,31.18,33.15,2017-07-15 00:00:00,6901773,2.0
328,33.857,32.566,2017-07-15 00:00:00,6903222,-9999.0
329,20.908,35.4,2017-07-16 00:00:00,6902828,-9999.0
330,25.618,33.848,2017-07-16 00:00:00,6903204,-9999.0
331,29.482,32.744,2017-07-16 00:00:00,6901766,2.0
332,5.961,40.185,2017-07-17 00:00:00,6902688,-9999.0
333,10.193,40.348,2017-07-17 00:00:00,6901767,1.0
334,20.905,35.394,2017-07-17 00:00:00,6902828,-9999.0
335,21.63,36.599,2017-07-17 00:00:00,6901765,1.0
336,9.526,38.223,2017-07-18 00:00:00,6901769,1.0
337,20.891,35.39,2017-07-18 00:00:00,6902828,-9999.0
338,26.326,34.391,2017-07-18 00:00:00,6901770,1.0
339,20.875,35.393,2017-07-19 00:00:00,6902828,-9999.0
340,20.851,35.388,2017-07-20 00:00:00,6902828,-9999.0
341,27.832,34.383,2017-07-20 00:00:00,6901764,1.0
342,33.945,32.583,2017-07-20 00:00:00,6903222,-9999.0
343,20.826,35.383,2017-07-21 00:00:00,6902828,-9999.0
344,25.755,33.936,2017-07-21 00:00:00,6903204,-9999.0
345,19.245,36.556,2017-07-22 00:00:00,6901768,1.0
346,20.802,35.37,2017-07-22 00:00:00,6902828,-9999.0
347,31.146,33.155,2017-07-22 00:00:00,6901773,2.0
348,20.77,35.354,2017-07-23 00:00:00,6902828,-9999.0
349,29.377,32.673,2017-07-23 00:00:00,6901766,2.0
350,10.199,40.364,2017-07-24 00:00:00,6901767,1.0
351,20.735,35.337,2017-07-24 00:00:00,6902828,-9999.0
352,21.667,36.631,2017-07-24 00:00:00,6901765,1.0
353,20.69,35.314,2017-07-25 00:00:00,6902828,-9999.0
354,26.369,34.443,2017-07-25 00:00:00,6901770,1.0
355,33.996,32.564,2017-07-25 00:00:00,6903222,-9999.0
356,20.648,35.281,2017-07-26 00:00:00,6902828,-9999.0
357,25.663,33.944,2017-07-26 00:00:00,6903204,-9999.0
358,20.594,35.245,2017-07-27 00:00:00,6902828,-9999.0
359,27.755,34.372,2017-07-27 00:00:00,6901764,1.0
360,20.536,35.219,2017-07-28 00:00:00,6902828,-9999.0
361,19.267,36.759,2017-07-29 00:00:00,6901768,1.0
362,20.468,35.202,2017-07-29 00:00:00,6902828,-9999.0
363,31.133,33.05,2017-07-29 00:00:00,6901773,2.0
364,20.395,35.189,2017-07-30 00:00:00,6902828,-9999.0
365,29.06,32.663,2017-07-30 00:00:00,6901766,2.0
366,34.071,32.532,2017-07-30 00:00:00,6903222,-9999.0
367,10.21,40.34,2017-07-31 00:00:00,6901767,1.0
368,20.322,35.173,2017-07-31 00:00:00,6902828,-9999.0
369,21.645,36.627,2017-07-31 00:00:00,6901765,8.0
370,25.674,33.954,2017-07-31 00:00:00,6903204,-9999.0
371,6.624,39.745,2017-08-01 00:00:00,6902688,-9999.0
372,9.423,38.21,2017-08-01 00:00:00,6901769,1.0
373,20.262,35.158,2017-08-01 00:00:00,6902828,-9999.0
374,26.445,34.428,2017-08-01 00:00:00,6901770,1.0
375,20.215,35.151,2017-08-02 00:00:00,6902828,-9999.0
376,20.178,35.139,2017-08-03 00:00:00,6902828,-9999.0
377,27.843,34.458,2017-08-03 00:00:00,6901764,1.0
378,20.151,35.129,2017-08-04 00:00:00,6902828,-9999.0
379,34.043,32.482,2017-08-04 00:00:00,6903222,-9999.0
380,19.325,36.906,2017-08-05 00:00:00,6901768,1.0
381,20.136,35.117,2017-08-05 00:00:00,6902828,-9999.0
382,25.667,33.998,2017-08-05 00:00:00,6903204,-9999.0
383,31.211,32.998,2017-08-05 00:00:00,6901773,2.0
384,6.828,39.803,2017-08-06 00:00:00,6902688,-9999.0
385,20.121,35.1,2017-08-06 00:00:00,6902828,-9999.0
386,28.8,32.622,2017-08-06 00:00:00,6901766,2.0
387,20.109,35.082,2017-08-07 00:00:00,6902828,-9999.0
388,21.625,36.611,2017-08-07 00:00:00,6901765,1.0
389,9.433,38.235,2017-08-08 00:00:00,6901769,1.0
390,20.096,35.063,2017-08-08 00:00:00,6902828,-9999.0
391,26.426,34.453,2017-08-08 00:00:00,6901770,8.0
392,20.082,35.048,2017-08-09 00:00:00,6902828,-9999.0
393,34.093,32.467,2017-08-09 00:00:00,6903222,-9999.0
394,20.067,35.032,2017-08-10 00:00:00,6902828,-9999.0
395,25.672,34.005,2017-08-10 00:00:00,6903204,-9999.0
396,27.906,34.46,2017-08-10 00:00:00,6901764,1.0
397,6.838,39.804,2017-08-11 00:00:00,6902688,-9999.0
398,20.044,35.027,2017-08-11 00:00:00,6902828,-9999.0
399,19.339,37.033,2017-08-12 00:00:00,6901768,1.0
400,20.03,35.023,2017-08-12 00:00:00,6902828,-9999.0
401,31.072,32.966,2017-08-12 00:00:00,6901773,2.0
402,20.011,35.006,2017-08-13 00:00:00,6902828,-9999.0
