,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
94,7.884,42.683,2017-03-10 00:00:00,6902733,7.854,42.244,2017-02-10 00:00:00,6902733,10.503,39.239,2017-02-07 00:00:00,6901769
95,21.184,36.61,2017-03-11 00:00:00,6901768,18.137,41.174,2017-02-10 00:00:00,6903197,26.669,33.152,2017-02-07 00:00:00,6901770
96,31.001,32.998,2017-03-11 00:00:00,6901773,3.818,41.967,2017-02-11 00:00:00,6901864,16.921,34.744,2017-02-08 00:00:00,6903153
97,30.555,33.798,2017-03-12 00:00:00,6901766,17.692,39.771,2017-02-11 00:00:00,6901863,33.67,32.511,2017-02-08 00:00:00,6903222
98,10.441,40.824,2017-03-13 00:00:00,6901767,20.987,36.653,2017-02-11 00:00:00,6901768,16.761,41.573,2017-02-09 00:00:00,6903178
99,23.413,34.955,2017-03-13 00:00:00,6901765,31.013,33.089,2017-02-11 00:00:00,6901773,17.49,36.749,2017-02-09 00:00:00,6901771
100,10.193,38.966,2017-03-14 00:00:00,6901769,19.36,38.807,2017-02-12 00:00:00,6901862,30.579,34.166,2017-02-09 00:00:00,6901764
101,26.546,33.492,2017-03-14 00:00:00,6901770,29.54,34.193,2017-02-12 00:00:00,6901766,33.666,32.512,2017-02-09 00:00:00,6903222
102,17.442,36.675,2017-03-16 00:00:00,6901771,4.099,38.613,2017-02-13 00:00:00,6902732,7.854,42.244,2017-02-10 00:00:00,6902733
103,29.324,34.614,2017-03-16 00:00:00,6901764,10.578,40.704,2017-02-13 00:00:00,6901767,9.935,39.649,2017-02-10 00:00:00,6903180
104,8.077,42.634,2017-03-17 00:00:00,6902733,23.522,34.392,2017-02-13 00:00:00,6901765,18.137,41.174,2017-02-10 00:00:00,6903197
105,21.112,36.695,2017-03-18 00:00:00,6901768,10.589,39.291,2017-02-14 00:00:00,6901769,20.987,36.653,2017-02-11 00:00:00,6901768
106,31.231,32.937,2017-03-18 00:00:00,6901773,26.734,33.087,2017-02-14 00:00:00,6901770,25.84,33.861,2017-02-11 00:00:00,6903204
107,30.647,33.474,2017-03-19 00:00:00,6901766,3.878,41.545,2017-02-16 00:00:00,6901864,31.013,33.089,2017-02-11 00:00:00,6901773
108,10.321,40.619,2017-03-20 00:00:00,6901767,17.332,39.413,2017-02-16 00:00:00,6901863,33.643,32.503,2017-02-11 00:00:00,6903222
109,23.384,35.107,2017-03-20 00:00:00,6901765,17.525,36.834,2017-02-16 00:00:00,6901771,5.181,41.001,2017-02-12 00:00:00,6902688
110,10.226,38.975,2017-03-21 00:00:00,6901769,30.518,34.308,2017-02-16 00:00:00,6901764,10.578,40.704,2017-02-13 00:00:00,6901767
111,26.819,33.742,2017-03-21 00:00:00,6901770,7.743,42.372,2017-02-17 00:00:00,6902733,16.984,34.742,2017-02-13 00:00:00,6903153
112,17.327,36.683,2017-03-23 00:00:00,6901771,19.797,38.691,2017-02-17 00:00:00,6901862,23.522,34.392,2017-02-13 00:00:00,6901765
113,29.059,34.641,2017-03-23 00:00:00,6901764,21.056,36.454,2017-02-18 00:00:00,6901768,33.634,32.507,2017-02-13 00:00:00,6903222
114,8.141,42.526,2017-03-24 00:00:00,6902733,31.0,33.101,2017-02-18 00:00:00,6901773,10.589,39.291,2017-02-14 00:00:00,6901769
115,21.077,36.669,2017-03-25 00:00:00,6901768,29.167,33.96,2017-02-19 00:00:00,6901766,16.764,41.565,2017-02-14 00:00:00,6903178
116,31.341,33.08,2017-03-25 00:00:00,6901773,3.821,38.675,2017-02-20 00:00:00,6902732,26.734,33.087,2017-02-14 00:00:00,6901770
117,30.429,32.994,2017-03-26 00:00:00,6901766,10.53,40.775,2017-02-20 00:00:00,6901767,17.525,36.834,2017-02-16 00:00:00,6901771
118,10.312,40.512,2017-03-27 00:00:00,6901767,23.607,34.495,2017-02-20 00:00:00,6901765,25.682,34.082,2017-02-16 00:00:00,6903204
119,23.095,35.298,2017-03-27 00:00:00,6901765,3.766,41.526,2017-02-21 00:00:00,6901864,30.518,34.308,2017-02-16 00:00:00,6901764
120,10.196,38.934,2017-03-28 00:00:00,6901769,10.41,39.364,2017-02-21 00:00:00,6901769,5.245,41.057,2017-02-17 00:00:00,6902688
121,27.025,33.99,2017-03-28 00:00:00,6901770,17.618,39.086,2017-02-21 00:00:00,6901863,33.72,32.453,2017-02-17 00:00:00,6903222
