,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
91,27.107,34.905,2019-02-21 00:00:00,6902900,27.31,34.813,2019-01-19 00:00:00,6902900,34.286,33.318,2019-02-02 00:00:00,6901773
92,12.697,39.287,2019-02-22 00:00:00,6902903,34.066,33.129,2019-01-19 00:00:00,6901773,6.049,39.219,2019-02-03 00:00:00,6901774
93,15.447,37.536,2019-02-22 00:00:00,6903249,4.116,40.923,2019-01-20 00:00:00,6902803,26.677,34.232,2019-02-03 00:00:00,6903247
94,24.247,40.147,2019-02-22 00:00:00,6903283,6.537,39.603,2019-01-20 00:00:00,6901774,27.377,34.808,2019-02-03 00:00:00,6902900
95,27.14,35.213,2019-02-22 00:00:00,6902872,7.089,40.015,2019-01-20 00:00:00,6902804,3.927,40.699,2019-02-04 00:00:00,6902803
96,34.448,33.357,2019-02-23 00:00:00,6901773,28.765,35.012,2019-01-20 00:00:00,6902902,6.875,40.139,2019-02-04 00:00:00,6902804
97,4.258,40.368,2019-02-24 00:00:00,6902803,7.199,42.949,2019-01-21 00:00:00,6902901,21.388,36.462,2019-02-04 00:00:00,6901772
98,27.076,35.189,2019-02-24 00:00:00,6902872,21.507,36.29,2019-01-21 00:00:00,6901772,27.579,35.215,2019-02-04 00:00:00,6902872
99,28.103,34.129,2019-02-25 00:00:00,6901764,28.549,34.023,2019-01-21 00:00:00,6901764,7.376,42.635,2019-02-05 00:00:00,6902901
100,17.947,34.594,2019-02-26 00:00:00,6903237,10.126,40.234,2019-01-22 00:00:00,6903238,7.348,39.787,2019-02-06 00:00:00,6901657
101,27.042,35.141,2019-02-26 00:00:00,6902872,15.485,35.973,2019-01-22 00:00:00,6902826,17.636,41.621,2019-02-06 00:00:00,6903250
102,28.145,34.138,2019-02-26 00:00:00,6901764,17.874,41.942,2019-01-22 00:00:00,6903250,17.826,34.747,2019-02-06 00:00:00,6903237
103,15.436,37.255,2019-02-27 00:00:00,6903249,17.939,35.012,2019-01-22 00:00:00,6903237,27.365,34.843,2019-02-06 00:00:00,6902900
104,24.172,40.136,2019-02-27 00:00:00,6903283,25.895,33.31,2019-01-22 00:00:00,6902898,16.627,38.193,2019-02-07 00:00:00,6903249
105,26.981,34.974,2019-02-27 00:00:00,6902900,27.295,34.827,2019-01-22 00:00:00,6902900,23.752,39.283,2019-02-07 00:00:00,6903283
